State,County,City,Neighborhood,Link,Similar Google Neighborhood,Google Place ID
CA,Santa Clara,San Jose,Albanese Circle,https://nextdoor.com/neighborhood/albanesecircle--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Almaden,https://nextdoor.com/neighborhood/almadenca--san-jose--ca/,Almaden,ChIJ8RtyWWkwjoARKOALmJ4lSgU
CA,Santa Clara,San Jose,Alvin/Burdette,https://nextdoor.com/neighborhood/7alvinburdette--san-jose--ca/,Alvin - Burdette,ChIJn5Y5-ZUyjoARiM0tE09NqXY
CA,Santa Clara,San Jose,Alviso,https://nextdoor.com/neighborhood/4alviso--san-jose--ca/,Alviso,ChIJ6ZeMLxTIj4ARVMglvFjq5HY
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,https://nextdoor.com/neighborhood/3littleportugalnorth--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Apts,https://nextdoor.com/neighborhood/aptsca--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Arbuckle,https://nextdoor.com/neighborhood/5arbuckle--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Archer - North 4th,https://nextdoor.com/neighborhood/archer4th--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Ascent,https://nextdoor.com/neighborhood/ascentca--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Autumnvale,https://nextdoor.com/neighborhood/4autumnvale--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Avana Skyway,https://nextdoor.com/neighborhood/avanaskyway--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Avenida Espana,https://nextdoor.com/neighborhood/2avenidaespana--san-jose--ca/,None,None
CA,Santa Clara,San Jose,AvenueOne,https://nextdoor.com/neighborhood/avenueone--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Baker West,https://nextdoor.com/neighborhood/1bakerwest--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Baltic Way,https://nextdoor.com/neighborhood/balticway--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Bascom Ave,https://nextdoor.com/neighborhood/bascomave--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Basking Ridge,https://nextdoor.com/neighborhood/2baskingridge--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Baton Rouge,https://nextdoor.com/neighborhood/batonrougeca--san-jose--ca/,Baton Rouge,ChIJ3xFZ5q7Nj4AROM0gIR1L9cI
CA,Santa Clara,San Jose,Bel Aire-Hillstone,https://nextdoor.com/neighborhood/8belaire-hillstone--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Bella Villagio,https://nextdoor.com/neighborhood/bellavillagio--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Berryessa,https://nextdoor.com/neighborhood/berryessaca--san-jose--ca/,Berryessa,ChIJJ7JWLNvNj4ARDKHysYCjHm4
CA,Santa Clara,San Jose,Berry Park,https://nextdoor.com/neighborhood/10berrypark2--san-jose--ca/,Berry Park,ChIJ-7nHHRgyjoAR2GzlV-zvito
CA,Santa Clara,San Jose,Betty Ann,https://nextdoor.com/neighborhood/bettyann--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Bevin Brook,https://nextdoor.com/neighborhood/7bevinbrook--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Blackford NAC,https://nextdoor.com/neighborhood/blackfordnacsanjose--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Blossom Hill,https://nextdoor.com/neighborhood/blossomhillca--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Blossom River,https://nextdoor.com/neighborhood/9blossomriver--san-jose--ca/,Blossom River,ChIJm3Y-kdkzjoARyHXCds5HcOY
CA,Santa Clara,San Jose,Blossom Trails,https://nextdoor.com/neighborhood/blossomtrails--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Blossom Valley,https://nextdoor.com/neighborhood/2blossomvalleyna--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Blossom Village,https://nextdoor.com/neighborhood/10blossomvillage--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Bonnett,https://nextdoor.com/neighborhood/9bonnett--san-jose--ca/,Bonnett,ChIJm_US7e80joAR-r9YOwzWUJA
CA,Santa Clara,San Jose,Boulder,https://nextdoor.com/neighborhood/4boulder--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Branham/Jarvis,https://nextdoor.com/neighborhood/9branhamjarvis--san-jose--ca/,Branham - Jarvis,ChIJXVTtCPIzjoARHC9i7yfSkWc
CA,Santa Clara,San Jose,Branham-Kirk,https://nextdoor.com/neighborhood/9branhamkirk--san-jose--ca/,Branham - Kirk,ChIJz9DErgs0joARqgctYZXHA4k
CA,Santa Clara,San Jose,Branham-Meridian,https://nextdoor.com/neighborhood/9branhammeridian--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Brigadoon,https://nextdoor.com/neighborhood/8brigadoonsanjose--san-jose--ca/,Brigadoon,ChIJ-U_3VH8tjoAR3iZyJvqXbgg
CA,Santa Clara,San Jose,Brookfield,https://nextdoor.com/neighborhood/brookfieldsj--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Brooktree,https://nextdoor.com/neighborhood/4brooktree--san-jose--ca/,Brooktree,ChIJUWUV_yHMj4AR3uSz-S7AFxk
CA,Santa Clara,San Jose,Brookvale/Chantel,https://nextdoor.com/neighborhood/brookvalechantel--san-jose--ca/,Brookvale - Chantel,ChIJtZkEZSK1j4ARXPCRhU-DbgM
CA,Santa Clara,San Jose,Buena Park,https://nextdoor.com/neighborhood/8buenapark--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Buena Vista,https://nextdoor.com/neighborhood/buenavistasanjose--san-jose--ca/,Buena Vista,ChIJj6FA1EfLj4ARnqazIW_meIw
CA,Santa Clara,San Jose,Burbank,https://nextdoor.com/neighborhood/6burbansanjose--san-jose--ca/,Burbank,ChIJF7g-CjzLj4ARcEd7BcUiGWQ
CA,Santa Clara,San Jose,Cadwallader,https://nextdoor.com/neighborhood/8cadwallader--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cahalan,https://nextdoor.com/neighborhood/10cahalan--san-jose--ca/,Cahalan,ChIJUfSyap0xjoARZHFCYnTq4qU
CA,Santa Clara,San Jose,Calero,https://nextdoor.com/neighborhood/2calero--san-jose--ca/,None,None
CA,Santa Clara,San Jose,California Gateway,https://nextdoor.com/neighborhood/4californiagateway--san-jose--ca/,None,None
CA,Santa Clara,San Jose,California Grove,https://nextdoor.com/neighborhood/2californiagrove--san-jose--ca/,None,None
CA,Santa Clara,San Jose,California Impressions,https://nextdoor.com/neighborhood/4californiaimpressions--san-jose--ca/,None,None
CA,Santa Clara,San Jose,California Oak Creek,https://nextdoor.com/neighborhood/8californiaoakcreek--san-jose--ca/,California Oak Creek,ChIJLyPG9b0ujoARoGXlal4Btnk
CA,Santa Clara,San Jose,California Renaissance,https://nextdoor.com/neighborhood/4renaissancesj--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Calvert,https://nextdoor.com/neighborhood/calvert--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cambrian,https://nextdoor.com/neighborhood/9cambrian--san-jose--ca/,Cambrian Park,ChIJV8OMfUE0joARxydhe8gmGAE
CA,Santa Clara,San Jose,Camden Village,https://nextdoor.com/neighborhood/10camdenvillage--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Campagna Ca,https://nextdoor.com/neighborhood/campagnaca--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Campbell Village,https://nextdoor.com/neighborhood/9campbellvillagesanjose--san-jose--ca/,Campbell,ChIJ6b7YLRk1joARmAd-J9EOXj0
CA,Santa Clara,San Jose,Campton Chase,https://nextdoor.com/neighborhood/10camptonchase--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Canoas East,https://nextdoor.com/neighborhood/10canoaseast--san-jose--ca/,Canoas East,ChIJfXYMlpAxjoARImhtJjDEVh0
CA,Santa Clara,San Jose,Canoas Garden,https://nextdoor.com/neighborhood/6canoasgarden--san-jose--ca/,Canoas Garden,ChIJN8QhMnUzjoARVMCu7KXhiv8
CA,Santa Clara,San Jose,Capewood,https://nextdoor.com/neighborhood/4capewood--san-jose--ca/,Capewood,ChIJ1es_z5nOj4ARGGoM-MeXEpk
CA,Santa Clara,San Jose,Capitol Goss/Dobern,https://nextdoor.com/neighborhood/5capitolgossdobern--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Capitol Village - Baroni,https://nextdoor.com/neighborhood/capitolvillagebaroni--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Carlton Ave,https://nextdoor.com/neighborhood/9carlton--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Carson,https://nextdoor.com/neighborhood/10carsonsj--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Casa Del Lago Mobile Park,https://nextdoor.com/neighborhood/casadellagomobilepark--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cassell,https://nextdoor.com/neighborhood/5cassell--san-jose--ca/,Cassell,ChIJs2jo7kjNj4ARaFlSDI4orSM
CA,Santa Clara,San Jose,Castle Drive/Speciale,https://nextdoor.com/neighborhood/9castledrspeciale--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cataldi,https://nextdoor.com/neighborhood/4cataldi--san-jose--ca/,Cataldi,ChIJ-wbjkZ3Oj4ARnnJqZoIs0kE
CA,Santa Clara,San Jose,Centerwood,https://nextdoor.com/neighborhood/8centerwood--san-jose--ca/,Centerwood,ChIJZQX9J2otjoARUErhD8dRVoI
CA,Santa Clara,San Jose,Central San Jose - Coleman,https://nextdoor.com/neighborhood/downtownsanjose--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Chantilley,https://nextdoor.com/neighborhood/2chantilley--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Charter,https://nextdoor.com/neighborhood/charterca--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Checkers,https://nextdoor.com/neighborhood/3checkers--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cherrywood,https://nextdoor.com/neighborhood/4cherrywoodca--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cinnabar,https://nextdoor.com/neighborhood/10cinnabar--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Clayton Road,https://nextdoor.com/neighborhood/5claytonroad--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Clearsprign,https://nextdoor.com/neighborhood/clearsprign--san-jose--ca/,None,None
CA,Santa Clara,San Jose,College Park,https://nextdoor.com/neighborhood/6collegepark--san-jose--ca/,College Park,ChIJ9aN2A3LLj4ARHC86xArqolg
CA,Santa Clara,San Jose,Colony Green,https://nextdoor.com/neighborhood/10colonygreen--san-jose--ca/,Colony Green,ChIJDwu7iicyjoARZLxwo8rO4Zk
CA,Santa Clara,San Jose,Comanche,https://nextdoor.com/neighborhood/10comanche--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Commodore,https://nextdoor.com/neighborhood/4commodore--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Communications Hill (North),https://nextdoor.com/neighborhood/7communicationshill--san-jose--ca/,Communications Hill,ChIJkzx9qKszjoAR37XDeNCPCGY
CA,Santa Clara,San Jose,Communications Hill (South),https://nextdoor.com/neighborhood/7communicationhill--san-jose--ca/,Communications Hill,ChIJkzx9qKszjoAR37XDeNCPCGY
CA,Santa Clara,San Jose,Corde Terra Circle,https://nextdoor.com/neighborhood/cordeterracircle--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cory,https://nextdoor.com/neighborhood/6cory--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Cottle-Lean,https://nextdoor.com/neighborhood/cottlelean--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Countrybrook/Lagoon,https://nextdoor.com/neighborhood/4countrybrooklagoon--san-jose--ca/,Countrybrook Lagoon,ChIJt87bI6HOj4ARrFh2ugDTnHw
CA,Santa Clara,San Jose,Country Club,https://nextdoor.com/neighborhood/10countryclubsanjose--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Country Lane,https://nextdoor.com/neighborhood/1countrylane--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Courtyards/Villas at Lundy,https://nextdoor.com/neighborhood/4courtyardsvillas--san-jose--ca/,None,None
CA,Santa Clara,San Jose,Coyote Creek,https://nextdoor.com/neighborhood/2coyotecreek--san-jose--ca/,None,None
